magic_formula_rank,name,sc_sector,market_cap_cr,previous_close,pbit_per_share,owner_earnings_per_share,intrinsic_value,margin_of_safety,enterprise_value_cr,earnings_yield,return_on_capital,ey_rank,roc_rank,combined_rank
1,Nuvama Wealth Management,,24360.0,6489.0,592.9,444.67499999999995,4446.749999999999,-0.31472491909385125,9480.38,0.23477681936622496,0.5704,10.0,10.0,20.0
2,Bajaj Finance,Banking & Financial Services,615870.0,987.7,754.33,565.7475000000001,5657.475,4.7279285208059125,905532.27,0.5194233204019315,0.4679,3.0,24.0,27.0
3,IIFL Capital Services,Miscellaneous,9145.0,288.3,35.64,26.73,267.3,-0.07284079084287198,3671.35,0.3079292709854027,0.4201,6.0,30.0,36.0
4,National Aluminium Company,Metals & Mining,40619.0,214.5,39.17,29.3775,293.775,0.36958041958041954,26939.71,0.2753357382735353,0.3711,9.0,42.0,51.0
5,Sharda Motor Industries,Automotive,6237.0,1057.5,146.82,110.115,1101.1499999999999,0.04127659574468079,4327.5,0.2000983517091338,0.37560000000000004,15.0,40.0,55.0
6,Colgate Palmolive (India),Consumer Non-durables,60215.0,2224.9,36.33,27.2475,272.47499999999997,-0.8775338217447975,8839.84,0.11122827145645195,1.2265000000000001,62.0,1.0,63.0
7,Bombay Burmah Trading Corporation,Food & Beverages,12828.0,1802.8,441.18,330.885,3308.85,0.8353949412025738,15508.5,0.20242186590791386,0.35479999999999995,13.0,56.0,69.0
8,Pfizer,Pharmaceuticals,23892.0,5151.0,69.47,52.1025,521.025,-0.898849737914968,851.37,0.3784773657729049,0.33130000000000004,5.0,65.0,70.0
9,TVS Holdings,Automotive,26729.0,12780.0,2910.73,2183.0475,21830.475,0.7081748826291079,50208.91,0.12124755397078175,0.479,54.0,20.0,74.0
10,Esab India,Engineering & Capital Goods,7651.0,4946.1,52.23,39.1725,391.72499999999997,-0.9208012373385092,692.98,0.11658820997682792,0.4889,56.0,18.0,74.0
11,Natco Pharma,Pharmaceuticals,14733.0,806.55,129.35,97.01249999999999,970.1249999999999,0.202808257392598,12381.23,0.19083697991411352,0.3011,16.0,76.0,92.0
12,Gokul Agro Resources,Chemicals,5966.0,410.25,34.42,25.815,258.15,-0.3707495429616088,3684.3,0.13585966494552712,0.355,40.0,54.0,94.0
13,Power Finance Corporation,Banking & Financial Services,136030.0,411.15,313.03,234.77249999999998,2347.7249999999995,4.710142283838015,1136313.1,0.09114279680726321,0.6586,91.0,4.0,95.0
14,NMDC,Metals & Mining,67785.0,76.16,10.6,7.949999999999999,79.49999999999999,0.04385504201680668,54251.23,0.17390134508927999,0.2974,17.0,80.0,97.0
15,REC,Banking & Financial Services,100155.0,377.55,206.02,154.51500000000001,1545.15,3.0925705204608667,606969.69,0.09004104756900533,0.6885,94.0,3.0,97.0
16,LIC Housing Finance,Banking & Financial Services,31818.0,577.2,479.73,359.7975,3597.975,5.23349792099792,300096.9,0.0881215086861663,0.7154,97.0,2.0,99.0
17,Manappuram Finance,Banking & Financial Services,24225.0,286.35,61.51,46.1325,461.325,0.6110529072812989,51314.17,0.10140865360423047,0.4131,73.0,31.0,104.0
18,MAS Financial Services,Banking & Financial Services,5513.0,306.85,65.24,48.92999999999999,489.2999999999999,0.5945901906468953,12517.61,0.09363848978664283,0.44200000000000006,86.0,26.0,112.0
19,INDUS TOWERS,Telecommunication,93154.0,352.05,56.06,42.045,420.45,0.19429058372390284,88545.22,0.16752712348367152,0.277,21.0,93.0,114.0
20,Cholamandalam Financial Holdings,Miscellaneous,34574.0,1907.6,1006.05,754.5374999999999,7545.374999999999,2.955428286852589,212024.84,0.08599934334086606,0.5529000000000001,103.0,12.0,115.0
21,Ganesh Housing,Retail & Real Estate,7161.0,841.25,96.61,72.4575,724.5749999999999,-0.13869242199108478,8673.55,0.09481428889934482,0.38680000000000003,84.0,35.0,119.0
22,KNR Constructions,Cement & Construction,5570.0,198.99,57.85,43.3875,433.875,1.1803859490426651,7950.33,0.2036770756462125,0.256,12.0,116.0,128.0
23,Banco Products (India),Automotive,12129.0,859.85,39.14,29.355,293.55,-0.6586032447519916,5131.35,0.10759484981283271,0.32380000000000003,65.0,68.0,133.0
24,Transrail Lighting,,9805.0,737.05,49.34,37.005,370.05,-0.4979309409130994,6230.93,0.10534087472971257,0.33130000000000004,68.0,65.0,133.0
25,PNB Housing Finance,Banking & Financial Services,23134.0,882.3,270.73,203.0475,2030.4750000000001,1.3013430805848354,81628.81,0.08696156961616791,0.41100000000000003,101.0,32.0,133.0
26,Muthoot Finance,Banking & Financial Services,127169.0,3144.5,365.62,274.21500000000003,2742.15,-0.12795356972491645,187269.98,0.07895714518091446,0.4755,118.0,22.0,140.0
27,Vedanta,Metals & Mining,184160.0,464.85,89.31,66.9825,669.8249999999999,0.44094869312681495,260017.1,0.13607572287937178,0.26920000000000005,39.0,102.0,141.0
28,Capri Global Capital,Banking & Financial Services,18208.0,188.76,23.11,17.3325,173.325,-0.08177050222504767,28101.53,0.0793272237987817,0.43200000000000005,115.0,27.0,142.0
29,Gulf Oil Lubricants India,Chemicals,6047.0,1239.9,104.5,78.375,783.75,-0.3678925719816115,5088.85,0.10014976840811303,0.32280000000000003,75.0,69.0,144.0
30,Hindustan Zinc,Metals & Mining,207674.0,481.35,34.87,26.152499999999996,261.5249999999999,-0.4566843253349955,205669.0,0.07314830426259682,0.6324000000000001,139.0,5.0,144.0
31,Coal India,Metals & Mining,236248.0,388.5,76.89,57.667500000000004,576.675,0.4843629343629343,221092.84,0.21148146001614798,0.24239999999999998,11.0,135.0,146.0
32,Tata Elxsi,Information Technology,33361.0,5226.0,49.82,37.365,373.65,-0.9285017221584386,3473.01,0.0915729793300271,0.3467,89.0,60.0,149.0
33,Tanla Platforms,Information Technology,9750.0,690.4,47.04,35.28,352.8,-0.488991888760139,5412.68,0.1227322776539199,0.27280000000000004,52.0,98.0,150.0
34,Housing & Urban Development Corporation,Retail & Real Estate,46802.0,232.47,51.87,38.902499999999996,389.0249999999999,0.6734417344173438,147150.11,0.0709664618931879,0.5229,144.0,13.0,157.0
35,CreditAccess Grameen,,22557.0,1400.8,166.32,124.74,1247.3999999999999,-0.10950885208452321,34216.94,0.07827237550963319,0.3765,121.0,39.0,160.0
36,Petronet LNG,Oil & Gas,41843.0,274.5,36.61,27.4575,274.575,0.0002732240437157696,34868.06,0.1600487954254264,0.23629999999999998,24.0,145.0,169.0
37,Cemindia Projects,Cement & Construction,14075.0,815.25,42.63,31.972500000000004,319.725,-0.6078196872125115,9804.94,0.07506335789216322,0.3608,131.0,50.0,181.0
38,NCC,Cement & Construction,13209.0,209.93,29.59,22.1925,221.92499999999998,0.05713809365026434,13344.77,0.1395176994835314,0.23579999999999998,36.0,147.0,183.0
39,Hero Motocorp,Automotive,111048.0,5432.5,308.27,231.2025,2312.0249999999996,-0.5744086516336862,74456.73,0.0846327221253336,0.2947,105.0,82.0,187.0
40,Hindustan Construction Company,Cement & Construction,5200.0,27.48,4.14,3.1049999999999995,31.049999999999994,0.12991266375545818,5675.66,0.13802907741780124,0.231,37.0,155.0,192.0
41,Gujarat Heavy Chemicals,Chemicals,5813.0,607.15,89.0,66.75,667.5,0.09939883060199306,5531.62,0.15404300855299496,0.2232,25.0,173.0,198.0
